H,NEL,NI,TA
33600.0,1.85000e+008,1.85000e+008,1.35572e+006
33650.0,1.84731e+008,1.84731e+008,1.35639e+006
33700.0,1.84463e+008,1.84463e+008,1.35706e+006
33750.0,1.84194e+008,1.84194e+008,1.35772e+006
33800.0,1.83926e+008,1.83926e+008,1.35839e+006
33850.0,1.83658e+008,1.83658e+008,1.35906e+006
33900.0,1.83389e+008,1.83389e+008,1.35973e+006
33950.0,1.83121e+008,1.83121e+008,1.36040e+006
34000.0,1.82852e+008,1.82852e+008,1.36107e+006
34050.0,1.82584e+008,1.82584e+008,1.36173e+006
34100.0,1.82315e+008,1.82315e+008,1.36240e+006
34150.0,1.82047e+008,1.82047e+008,1.36307e+006
34200.0,1.81778e+008,1.81778e+008,1.36374e+006
34250.0,1.81510e+008,1.81510e+008,1.36441e+006
34300.0,1.81241e+008,1.81241e+008,1.36508e+006
34350.0,1.80973e+008,1.80973e+008,1.36575e+006
34400.0,1.80705e+008,1.80705e+008,1.36641e+006
34450.0,1.80436e+008,1.80436e+008,1.36708e+006
34500.0,1.80168e+008,1.80168e+008,1.36775e+006
34550.0,1.79899e+008,1.79899e+008,1.36842e+006
34600.0,1.79631e+008,1.79631e+008,1.36909e+006
34650.0,1.79362e+008,1.79362e+008,1.36976e+006
34700.0,1.79094e+008,1.79094e+008,1.37042e+006
34750.0,1.78825e+008,1.78825e+008,1.37109e+006
34800.0,1.78557e+008,1.78557e+008,1.37176e+006
34850.0,1.78288e+008,1.78288e+008,1.37243e+006
34900.0,1.78020e+008,1.78020e+008,1.37310e+006
34950.0,1.77751e+008,1.77751e+008,1.37377e+006
35000.0,1.77483e+008,1.77483e+008,1.37444e+006
35050.0,1.77215e+008,1.77215e+008,1.37510e+006
35100.0,1.76946e+008,1.76946e+008,1.37577e+006
35150.0,1.76678e+008,1.76678e+008,1.37644e+006
35200.0,1.76409e+008,1.76409e+008,1.37711e+006
35250.0,1.76141e+008,1.76141e+008,1.37778e+006
35300.0,1.75872e+008,1.75872e+008,1.37845e+006
35350.0,1.75604e+008,1.75604e+008,1.37911e+006
35400.0,1.75335e+008,1.75335e+008,1.37978e+006
35450.0,1.75067e+008,1.75067e+008,1.38045e+006
35500.0,1.74798e+008,1.74798e+008,1.38112e+006
35550.0,1.74530e+008,1.74530e+008,1.38179e+006
35600.0,1.74262e+008,1.74262e+008,1.38246e+006
35650.0,1.73993e+008,1.73993e+008,1.38313e+006
35700.0,1.73725e+008,1.73725e+008,1.38379e+006
35750.0,1.73456e+008,1.73456e+008,1.38446e+006
35800.0,1.73188e+008,1.73188e+008,1.38513e+006
35850.0,1.72919e+008,1.72919e+008,1.38580e+006
35900.0,1.72651e+008,1.72651e+008,1.38647e+006
35950.0,1.72382e+008,1.72382e+008,1.38714e+006
36000.0,1.72114e+008,1.72114e+008,1.38780e+006
36050.0,1.71845e+008,1.71845e+008,1.38847e+006
36100.0,1.71577e+008,1.71577e+008,1.38914e+006
36150.0,1.71309e+008,1.71309e+008,1.38981e+006
36200.0,1.71040e+008,1.71040e+008,1.39048e+006
36250.0,1.70772e+008,1.70772e+008,1.39115e+006
36300.0,1.70503e+008,1.70503e+008,1.39182e+006
36350.0,1.70235e+008,1.70235e+008,1.39248e+006
36400.0,1.69966e+008,1.69966e+008,1.39315e+006
36450.0,1.69698e+008,1.69698e+008,1.39382e+006
36500.0,1.69429e+008,1.69429e+008,1.39449e+006
36550.0,1.69161e+008,1.69161e+008,1.39516e+006
36600.0,1.68892e+008,1.68892e+008,1.39583e+006
36650.0,1.68624e+008,1.68624e+008,1.39649e+006
36700.0,1.68356e+008,1.68356e+008,1.39716e+006
36750.0,1.68087e+008,1.68087e+008,1.39783e+006
36800.0,1.67819e+008,1.67819e+008,1.39850e+006
36850.0,1.67550e+008,1.67550e+008,1.39917e+006
36900.0,1.67282e+008,1.67282e+008,1.39984e+006
36950.0,1.67013e+008,1.67013e+008,1.40051e+006
37000.0,1.66745e+008,1.66745e+008,1.40117e+006
37050.0,1.66476e+008,1.66476e+008,1.40184e+006
37100.0,1.66208e+008,1.66208e+008,1.40251e+006
37150.0,1.65939e+008,1.65939e+008,1.40318e+006
37200.0,1.65671e+008,1.65671e+008,1.40385e+006
37250.0,1.65402e+008,1.65402e+008,1.40452e+006
37300.0,1.65134e+008,1.65134e+008,1.40518e+006
37350.0,1.64866e+008,1.64866e+008,1.40585e+006
37400.0,1.64597e+008,1.64597e+008,1.40652e+006
37450.0,1.64329e+008,1.64329e+008,1.40719e+006
37500.0,1.64060e+008,1.64060e+008,1.40786e+006
37550.0,1.63792e+008,1.63792e+008,1.40853e+006
37600.0,1.63523e+008,1.63523e+008,1.40920e+006
37650.0,1.63255e+008,1.63255e+008,1.40986e+006
37700.0,1.62986e+008,1.62986e+008,1.41053e+006
37750.0,1.62718e+008,1.62718e+008,1.41120e+006
37800.0,1.62449e+008,1.62449e+008,1.41187e+006
37850.0,1.62181e+008,1.62181e+008,1.41254e+006
37900.0,1.61913e+008,1.61913e+008,1.41321e+006
37950.0,1.61644e+008,1.61644e+008,1.41387e+006
38000.0,1.61376e+008,1.61376e+008,1.41454e+006
38050.0,1.61107e+008,1.61107e+008,1.41521e+006
38100.0,1.60839e+008,1.60839e+008,1.41588e+006
38150.0,1.60570e+008,1.60570e+008,1.41655e+006
38200.0,1.60302e+008,1.60302e+008,1.41722e+006
38250.0,1.60033e+008,1.60033e+008,1.41789e+006
38300.0,1.59765e+008,1.59765e+008,1.41855e+006
38350.0,1.59496e+008,1.59496e+008,1.41922e+006
38400.0,1.59228e+008,1.59228e+008,1.41989e+006
38450.0,1.58960e+008,1.58960e+008,1.42056e+006
38500.0,1.58691e+008,1.58691e+008,1.42123e+006
38550.0,1.58423e+008,1.58423e+008,1.42190e+006
38600.0,1.58154e+008,1.58154e+008,1.42256e+006
38650.0,1.57886e+008,1.57886e+008,1.42323e+006
38700.0,1.57617e+008,1.57617e+008,1.42390e+006
38750.0,1.57349e+008,1.57349e+008,1.42457e+006
38800.0,1.57080e+008,1.57080e+008,1.42524e+006
38850.0,1.56812e+008,1.56812e+008,1.42591e+006
38900.0,1.56543e+008,1.56543e+008,1.42658e+006
38950.0,1.56275e+008,1.56275e+008,1.42724e+006
39000.0,1.56007e+008,1.56007e+008,1.42791e+006
39050.0,1.55738e+008,1.55738e+008,1.42858e+006
39100.0,1.55470e+008,1.55470e+008,1.42925e+006
39150.0,1.55201e+008,1.55201e+008,1.42992e+006
39200.0,1.54933e+008,1.54933e+008,1.43059e+006
39250.0,1.54664e+008,1.54664e+008,1.43125e+006
39300.0,1.54396e+008,1.54396e+008,1.43192e+006
39350.0,1.54127e+008,1.54127e+008,1.43259e+006
39400.0,1.53859e+008,1.53859e+008,1.43326e+006
39450.0,1.53590e+008,1.53590e+008,1.43393e+006
39500.0,1.53322e+008,1.53322e+008,1.43460e+006
39550.0,1.53054e+008,1.53054e+008,1.43527e+006
39600.0,1.52785e+008,1.52785e+008,1.43593e+006
39650.0,1.52517e+008,1.52517e+008,1.43660e+006
39700.0,1.52248e+008,1.52248e+008,1.43727e+006
39750.0,1.51980e+008,1.51980e+008,1.43794e+006
39800.0,1.51711e+008,1.51711e+008,1.43861e+006
39850.0,1.51443e+008,1.51443e+008,1.43928e+006
39900.0,1.51174e+008,1.51174e+008,1.43994e+006
39950.0,1.50906e+008,1.50906e+008,1.44061e+006
